Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Law;33;Male;High School;8;High
Law;48;Female;High School;11;Medium
Education;39;Female;Bachelor's;31;High
Psychology;34;Female;Master's;25;Medium
Law;30;Female;Bachelor's;37;None
Law;50;Female;High School;13;None
Arts;27;Female;High School;39;Medium
Education;43;Male;High School;19;High
Arts;43;Male;High School;8;Low
Education;56;Male;PhD;37;Medium
Biology;20;Female;Master's;16;Medium
Mechanical Engineering;43;Male;Bachelor's;15;High
Computer Science;57;Female;Master's;29;High
Psychology;25;Male;High School;30;High
Computer Science;36;Male;Master's;31;High
Psychology;54;Female;Bachelor's;11;Medium
Psychology;57;Female;PhD;37;Low
Psychology;29;Female;Master's;32;Medium
Computer Science;41;Female;High School;31;High
Psychology;32;Female;PhD;21;Medium
Business;23;Female;Bachelor's;21;High
Business;23;Female;Master's;4;None
Economics;59;Male;High School;39;Medium
Medicine;52;Male;Bachelor's;6;None
Business;20;Male;High School;27;Medium
Economics;38;Male;PhD;35;Low
Biology;58;Male;High School;21;None
Medicine;59;Female;Bachelor's;35;Medium
Arts;24;Male;Bachelor's;4;Low
Psychology;31;Male;Bachelor's;31;None
Economics;28;Female;High School;3;None
Psychology;51;Male;Bachelor's;20;High
Psychology;59;Female;High School;33;High
Education;50;Male;Bachelor's;10;Low
Medicine;46;Female;Bachelor's;24;None
Law;33;Female;Master's;12;Low
Biology;49;Male;Bachelor's;18;None
Psychology;35;Male;Bachelor's;5;Low
Business;50;Male;Bachelor's;31;High
Computer Science;20;Male;Bachelor's;32;None
Computer Science;57;Male;Master's;23;None
Economics;42;Female;Bachelor's;4;High
Business;47;Male;Master's;22;High
Economics;55;Female;Master's;6;High
Law;48;Male;High School;2;High
Business;32;Female;High School;18;Medium
Biology;36;Male;PhD;28;Medium
Psychology;31;Male;Master's;10;None
Economics;27;Female;PhD;33;Low
Mechanical Engineering;37;Female;Bachelor's;29;None
Law;42;Female;High School;29;High
Economics;44;Female;Master's;14;Low
Computer Science;39;Male;PhD;31;Medium
Biology;52;Female;Master's;19;Low
Psychology;38;Female;PhD;39;Low
Economics;42;Male;High School;3;None
Economics;20;Male;Master's;29;None
Computer Science;42;Female;High School;22;High
Medicine;35;Male;Bachelor's;22;High
Computer Science;23;Female;High School;25;None
Computer Science;22;Male;Bachelor's;32;None
Business;53;Male;High School;39;None
Biology;46;Male;High School;24;High
Medicine;51;Male;High School;17;None
Education;49;Female;Master's;35;Medium
Psychology;26;Female;Bachelor's;26;None
Business;52;Female;Bachelor's;13;High
Mechanical Engineering;33;Male;Bachelor's;28;Medium
Economics;27;Male;High School;7;High
Computer Science;47;Male;Master's;27;High
Medicine;31;Male;PhD;15;Medium
Biology;22;Male;High School;2;Medium
Computer Science;46;Female;PhD;21;None
Education;56;Male;PhD;10;Medium
Computer Science;50;Female;Bachelor's;32;None
Mechanical Engineering;30;Female;Bachelor's;15;Medium
Economics;57;Female;High School;24;None
Economics;29;Female;Master's;26;None
Arts;24;Female;PhD;14;None
Economics;47;Male;Bachelor's;30;Medium
Arts;28;Female;High School;23;None
Law;55;Male;Bachelor's;29;Low
Arts;33;Female;High School;35;None
Computer Science;38;Male;Bachelor's;7;None
Biology;38;Female;Master's;20;Low
Computer Science;29;Male;Bachelor's;25;High
Economics;56;Female;Master's;30;Medium
Education;42;Female;High School;37;Low
Psychology;44;Male;Master's;32;Low
Arts;31;Female;PhD;32;Medium
Psychology;42;Female;PhD;31;High
Arts;25;Female;High School;16;None
Mechanical Engineering;27;Male;Master's;8;None
Psychology;27;Male;Bachelor's;16;Low
Economics;43;Female;Master's;32;None
Economics;42;Female;High School;16;None
Biology;44;Male;Bachelor's;2;Medium
Computer Science;25;Female;Master's;0;High
Computer Science;34;Female;High School;13;High
Medicine;58;Female;High School;38;None
Biology;21;Male;Master's;34;High
Arts;21;Male;Bachelor's;22;Medium
Medicine;32;Male;PhD;23;Low
Economics;33;Female;High School;23;None
Psychology;36;Male;High School;34;Low
Medicine;39;Male;High School;21;Medium
Biology;35;Female;Master's;20;Medium
Biology;44;Male;PhD;21;High
Arts;59;Male;High School;38;High
Law;59;Female;Master's;38;Medium
Law;22;Male;Bachelor's;1;High
Education;37;Male;Bachelor's;22;None
Computer Science;52;Female;Bachelor's;35;Low
Business;26;Male;Master's;1;Medium
Psychology;49;Male;PhD;21;Low
Law;38;Female;PhD;33;Medium
Psychology;49;Male;High School;24;Low
Business;41;Male;PhD;0;High
Medicine;45;Male;High School;24;Medium
Business;29;Male;Master's;22;High
Medicine;37;Male;Bachelor's;39;Low
Business;46;Male;High School;0;Low
Education;22;Male;PhD;27;Low
Medicine;44;Female;High School;10;Low
Education;33;Male;High School;37;Low
Education;23;Male;Master's;9;High
Business;33;Male;PhD;32;None
Psychology;36;Male;High School;39;Low
Mechanical Engineering;46;Male;Master's;0;Medium
Business;53;Male;High School;37;Medium
Medicine;59;Female;PhD;22;Low
Biology;39;Male;High School;13;Medium
Psychology;23;Male;Master's;11;High
Medicine;47;Female;PhD;1;High
Economics;35;Male;High School;17;High
Computer Science;55;Female;PhD;22;None
Law;26;Female;High School;27;Low
Law;40;Female;Master's;30;High
Computer Science;24;Female;High School;20;None
Law;58;Male;Master's;12;Low
Law;58;Male;Bachelor's;33;None
Medicine;49;Male;PhD;6;Medium
Law;59;Male;High School;14;Low
Law;41;Female;Master's;17;None
Mechanical Engineering;48;Female;Bachelor's;38;Medium
Education;35;Female;High School;37;Medium
Biology;45;Female;Bachelor's;6;Medium
Medicine;55;Female;High School;22;Medium
Business;56;Female;Bachelor's;35;Low
Education;36;Male;Bachelor's;2;Low
Economics;52;Female;PhD;4;None
Computer Science;48;Male;PhD;6;None
Arts;47;Male;PhD;1;None
Medicine;57;Female;Bachelor's;2;None
Psychology;23;Male;PhD;24;None
Computer Science;31;Female;Bachelor's;10;High
Arts;53;Male;Bachelor's;26;High
Economics;31;Female;Master's;15;Medium
Biology;21;Male;Bachelor's;12;None
Medicine;50;Female;Bachelor's;24;High
Economics;21;Female;PhD;29;High
Business;48;Female;High School;6;None
Arts;29;Male;High School;14;Low
Business;51;Female;Master's;1;Low
Computer Science;33;Female;Bachelor's;2;None
Biology;37;Female;Bachelor's;18;Medium
Biology;55;Male;PhD;22;High
Law;44;Male;Bachelor's;19;Medium
Biology;36;Female;PhD;16;Low
Business;25;Male;High School;7;Low
Biology;45;Female;High School;36;Low
Economics;37;Female;High School;39;High
Law;45;Female;Master's;2;None
Medicine;24;Male;Master's;15;None
Law;54;Female;High School;10;High
Economics;50;Female;PhD;25;None
Psychology;39;Male;Bachelor's;30;High
Biology;40;Female;High School;26;Medium
Law;56;Female;PhD;33;None
Medicine;33;Male;Bachelor's;5;Low
Economics;29;Male;PhD;32;None
Biology;42;Female;High School;23;High
Psychology;57;Female;PhD;39;None
Arts;27;Male;High School;26;Medium
Arts;30;Female;Master's;16;High
Education;49;Male;High School;29;None
Biology;28;Male;Master's;17;Medium
Medicine;25;Female;High School;10;Low
Biology;53;Female;PhD;38;Medium
Psychology;36;Female;Bachelor's;7;Medium
Arts;27;Male;Master's;30;High
Biology;38;Female;Bachelor's;5;Medium
Education;49;Female;Bachelor's;36;High
Computer Science;26;Male;Bachelor's;32;Medium
Education;28;Male;PhD;14;High
Arts;58;Male;Master's;20;None
Psychology;50;Female;Master's;39;High
Psychology;37;Male;Master's;21;Low
Biology;55;Male;High School;9;None
Computer Science;46;Female;Bachelor's;38;High
Arts;31;Male;Bachelor's;19;None
Psychology;26;Female;Bachelor's;21;Medium
Computer Science;58;Male;Master's;8;Low
Business;57;Female;Bachelor's;25;Low
Medicine;29;Female;High School;31;High
Education;55;Male;Master's;38;Low
Arts;26;Female;Master's;8;None
Mechanical Engineering;51;Male;High School;23;High
Psychology;55;Male;High School;18;Low
Psychology;35;Female;PhD;34;Medium
Psychology;34;Male;PhD;28;Medium
Business;31;Male;High School;22;Medium
Education;27;Female;Bachelor's;4;None
Economics;21;Male;Bachelor's;21;High
Biology;46;Male;High School;8;High
Arts;20;Female;Bachelor's;16;Medium
Arts;28;Female;Master's;17;Medium
Medicine;39;Female;High School;15;High
Medicine;49;Male;Bachelor's;23;None
Economics;55;Male;PhD;12;None
Economics;44;Male;Bachelor's;31;None
Medicine;31;Female;Bachelor's;10;None
Biology;24;Male;Bachelor's;22;None
Arts;31;Female;High School;3;Low
Psychology;22;Female;Bachelor's;14;None
Psychology;28;Male;PhD;15;High
Biology;32;Male;Bachelor's;1;Low
Psychology;57;Female;High School;4;High
Psychology;52;Male;PhD;1;Medium
Computer Science;52;Male;High School;8;None
Economics;35;Male;PhD;9;High
Mechanical Engineering;51;Female;PhD;38;Low
Mechanical Engineering;50;Female;Master's;6;None
Mechanical Engineering;31;Male;High School;23;High
Computer Science;34;Female;High School;30;Medium
Medicine;38;Female;Bachelor's;11;None
Business;56;Male;Bachelor's;25;Low
Law;54;Female;PhD;23;High
Law;48;Female;PhD;7;High
Biology;46;Male;Bachelor's;36;None
Arts;33;Male;PhD;10;High
Computer Science;36;Female;Bachelor's;6;Low
Psychology;31;Male;PhD;24;Low
Education;41;Male;Master's;30;None
Business;55;Female;Master's;17;None
Psychology;27;Male;High School;27;Low
Computer Science;58;Female;High School;6;None
Education;39;Female;Master's;39;Medium
Medicine;34;Male;PhD;11;Low
Arts;35;Female;Bachelor's;39;None
Computer Science;50;Female;PhD;32;None
Computer Science;38;Female;Bachelor's;34;Medium
Law;44;Male;Bachelor's;12;Low
Law;25;Male;Bachelor's;31;Medium
Law;32;Male;PhD;10;High
Economics;55;Male;Master's;17;Low
Medicine;30;Male;Bachelor's;7;High
Computer Science;49;Male;Bachelor's;17;Low
Law;56;Female;PhD;3;Low
Education;34;Male;Bachelor's;10;None
Economics;57;Female;PhD;13;High
Psychology;49;Female;High School;30;High
Biology;49;Male;Bachelor's;12;None
Law;48;Female;Bachelor's;36;Low
Economics;20;Female;Bachelor's;20;None
Law;59;Male;High School;28;Medium
Psychology;51;Male;High School;36;Medium
Psychology;59;Female;Master's;15;Medium
Business;38;Female;Master's;20;None
Economics;42;Female;Bachelor's;31;None
Arts;32;Female;Master's;22;Medium
Medicine;47;Female;Master's;7;Medium
Biology;37;Male;Bachelor's;8;None
Biology;48;Female;Bachelor's;1;Medium
Law;44;Male;High School;25;Low
Education;39;Female;PhD;6;None
Computer Science;34;Female;PhD;29;None
Biology;55;Female;Master's;28;High
Medicine;41;Male;PhD;11;Low
Medicine;24;Male;Bachelor's;18;Medium
Arts;46;Male;Master's;29;Low
Computer Science;45;Female;Bachelor's;1;Low
Economics;26;Male;Bachelor's;38;Medium
Mechanical Engineering;57;Male;Bachelor's;4;High
Business;49;Male;Bachelor's;5;Low
Arts;50;Female;Master's;35;Low
Computer Science;23;Male;High School;12;High
Biology;59;Female;Master's;22;Low
Computer Science;30;Male;High School;26;High
Economics;34;Male;High School;18;Low
Economics;45;Female;High School;4;Low
Computer Science;42;Male;Bachelor's;16;High
Mechanical Engineering;51;Female;Master's;11;Low
Arts;21;Female;High School;8;Low
Economics;53;Female;High School;0;High
Computer Science;43;Male;Master's;30;None
Biology;32;Male;PhD;3;None
Economics;59;Male;Master's;7;None
Computer Science;20;Female;PhD;27;Low
Computer Science;59;Male;PhD;5;None
Biology;25;Male;High School;5;High
Psychology;37;Female;Master's;20;High
Business;49;Female;High School;13;Low
Business;26;Male;High School;27;Low
Psychology;30;Female;PhD;36;Low
Mechanical Engineering;23;Male;Master's;23;Low
Psychology;45;Female;Master's;27;High
Mechanical Engineering;22;Female;PhD;3;Medium
Education;45;Female;High School;27;High
Business;34;Male;Bachelor's;20;Low
Business;25;Female;Master's;34;None
Economics;21;Female;PhD;18;Low
Education;39;Female;Bachelor's;0;None
Economics;54;Male;Master's;12;Low
Business;33;Female;Master's;8;Low
Mechanical Engineering;43;Female;Master's;38;Low
Arts;51;Female;Master's;39;Low
Psychology;29;Female;Master's;23;Low
Computer Science;53;Male;Master's;17;High
Mechanical Engineering;34;Female;Bachelor's;33;None
Education;55;Male;Master's;17;Low
Biology;43;Male;Bachelor's;32;None
Arts;38;Male;PhD;7;None
Computer Science;20;Male;Master's;19;None
Psychology;57;Male;High School;29;Low
Computer Science;35;Male;High School;25;None
Law;52;Male;High School;39;Low
Arts;21;Male;Master's;38;Medium
Mechanical Engineering;21;Male;PhD;18;Medium
Economics;33;Female;Master's;29;Medium
Biology;33;Male;High School;10;High
Law;51;Male;Master's;17;None
Law;57;Female;High School;3;Medium
Business;56;Male;PhD;12;Medium
Education;48;Female;Master's;5;Medium
Biology;52;Female;High School;9;Medium
Arts;52;Female;PhD;9;None
Medicine;55;Male;PhD;19;Low
Biology;58;Female;Master's;0;None
Mechanical Engineering;45;Female;Master's;30;None
Education;55;Female;PhD;31;None
Arts;57;Female;Bachelor's;5;Low
Computer Science;24;Female;Master's;26;High
Psychology;33;Male;High School;32;Low
Biology;50;Female;High School;23;None
Law;44;Female;PhD;19;Low
Mechanical Engineering;43;Male;Master's;22;None
Economics;31;Female;PhD;36;High
Business;20;Male;Master's;39;Medium
Arts;29;Female;Bachelor's;31;Medium
Business;35;Female;High School;38;None
Business;42;Male;PhD;16;High
Law;43;Female;High School;39;Low
Computer Science;36;Male;PhD;32;None
Biology;43;Male;Master's;33;Medium
Arts;29;Male;Bachelor's;36;High
Mechanical Engineering;45;Male;Bachelor's;22;High
Medicine;22;Male;High School;26;High
Medicine;31;Female;Master's;26;High
Computer Science;45;Female;High School;5;Medium
Economics;54;Male;Bachelor's;10;Medium
Education;40;Female;Bachelor's;28;Medium
Law;44;Male;PhD;14;High
Education;45;Male;Bachelor's;2;Medium
Psychology;34;Male;High School;28;None
Psychology;24;Female;Master's;21;Low
Economics;35;Female;PhD;16;Low
Economics;53;Female;PhD;16;Medium
Mechanical Engineering;41;Male;PhD;28;Low
Computer Science;40;Female;Bachelor's;19;High
Computer Science;21;Male;High School;27;Medium
Medicine;43;Male;High School;6;Medium
Education;22;Female;Bachelor's;21;High
Business;51;Female;Master's;24;None
Business;47;Female;Master's;35;None
Medicine;54;Female;PhD;13;Medium
Arts;31;Male;PhD;24;High
Business;37;Male;Master's;19;None
Education;31;Male;Master's;38;Medium
Law;47;Male;High School;31;Low
Business;35;Female;High School;27;High
Computer Science;29;Male;Bachelor's;4;Low
Business;23;Male;PhD;38;Medium
Biology;55;Male;Bachelor's;39;High
Psychology;54;Female;High School;34;None
Law;44;Female;High School;31;None
Business;52;Female;Master's;33;None
Law;28;Male;PhD;11;High
Economics;36;Male;Master's;14;None
Medicine;40;Male;PhD;26;None
Biology;26;Female;Master's;1;None
Psychology;40;Female;Master's;36;Low
Education;29;Female;Bachelor's;16;Low
Education;55;Male;Master's;30;High
Arts;20;Female;Bachelor's;4;Medium
Economics;33;Female;High School;18;High
Education;59;Male;Bachelor's;20;Medium
Economics;30;Female;High School;22;None
Mechanical Engineering;28;Male;Master's;34;High
Computer Science;24;Female;PhD;39;None
Medicine;53;Male;High School;13;Low
Law;53;Male;High School;0;High
Business;45;Male;Master's;8;High
Law;50;Male;Bachelor's;24;None
Business;44;Male;Master's;12;Medium
Medicine;21;Male;Master's;33;None
Business;28;Female;Master's;25;High
Computer Science;21;Female;High School;37;None
Medicine;49;Female;PhD;30;Medium
Arts;27;Male;PhD;29;None
Medicine;29;Male;Bachelor's;37;None
Economics;39;Female;PhD;37;Low
Medicine;28;Female;PhD;31;High
Economics;37;Female;Bachelor's;1;Medium
Computer Science;20;Male;PhD;1;High
Economics;48;Female;Master's;11;High
Education;28;Male;High School;13;Medium
Law;23;Male;Master's;28;None
Law;39;Female;Master's;34;Medium
Mechanical Engineering;57;Male;PhD;31;Medium
Computer Science;48;Female;High School;36;None
Business;54;Female;Bachelor's;37;Low
Economics;29;Female;Master's;34;None
Biology;47;Female;PhD;22;None
Medicine;46;Male;Master's;39;None
Economics;38;Female;Master's;8;Low
Business;49;Male;PhD;19;High
Medicine;46;Female;Master's;37;Low
Psychology;39;Female;Master's;24;Low
Economics;40;Female;Bachelor's;7;Low
Law;51;Female;PhD;20;None
Computer Science;39;Female;PhD;13;None
Economics;37;Female;Bachelor's;19;None
Biology;49;Female;PhD;24;High
Biology;20;Female;PhD;20;Low
Arts;25;Female;PhD;17;Medium
Psychology;56;Female;Master's;33;None
Arts;49;Male;High School;9;Low
Mechanical Engineering;30;Female;High School;28;Medium
Medicine;45;Female;PhD;18;None
Education;49;Male;High School;18;None
Psychology;53;Female;Bachelor's;39;High
Mechanical Engineering;49;Male;High School;14;Medium
Computer Science;55;Female;PhD;18;Low
Arts;58;Female;Bachelor's;31;Low
Mechanical Engineering;56;Male;PhD;35;High
Biology;57;Female;High School;24;Medium
Economics;31;Female;PhD;10;None
Biology;31;Male;High School;17;None
Business;41;Female;Master's;39;High
Business;26;Male;PhD;10;None
Economics;39;Female;High School;15;Low
Medicine;42;Female;Master's;14;High
Biology;37;Male;High School;21;Medium
Computer Science;33;Female;High School;39;Low
Medicine;26;Male;High School;10;Low
Psychology;26;Male;High School;28;Low
Arts;44;Male;Bachelor's;24;None
Education;24;Female;PhD;4;High
Psychology;21;Female;Master's;33;Low
Biology;21;Female;Master's;38;Low
Medicine;53;Female;Master's;31;Low
Law;38;Male;Master's;22;None
Business;53;Male;PhD;21;Low
Psychology;53;Male;PhD;13;High
Education;47;Female;Bachelor's;24;Medium
Law;43;Female;Bachelor's;12;None
Biology;27;Female;PhD;10;Low
Mechanical Engineering;44;Male;PhD;6;Low
Computer Science;20;Male;High School;37;Medium
Economics;41;Female;High School;28;Low
Psychology;53;Female;PhD;10;Low
Mechanical Engineering;23;Male;PhD;7;Low
Arts;23;Male;Master's;14;None
Computer Science;38;Female;Master's;30;Medium
Business;42;Male;High School;22;Low
Arts;27;Male;High School;28;Medium
Biology;57;Female;Bachelor's;21;Medium
Law;32;Female;Bachelor's;8;Low
Law;37;Female;Bachelor's;17;High
Mechanical Engineering;35;Male;High School;0;Medium
Biology;33;Female;High School;21;High
Psychology;54;Female;Master's;18;Medium
Psychology;31;Female;Bachelor's;28;None
Arts;40;Female;Bachelor's;20;None
Psychology;39;Female;High School;8;High
Arts;20;Female;Master's;7;None
Business;33;Female;High School;8;Medium
Computer Science;54;Female;Master's;38;High
Medicine;48;Male;PhD;26;High
Biology;51;Female;Bachelor's;1;Low
Business;38;Female;Master's;16;Medium
Computer Science;56;Female;Master's;7;Medium
Education;32;Female;PhD;24;Medium
Economics;26;Male;High School;16;None
Education;43;Female;Bachelor's;4;Low
Economics;58;Male;High School;24;Low
Medicine;44;Female;High School;30;Low
Business;46;Female;PhD;38;Medium
Medicine;20;Female;Bachelor's;16;Low
Arts;36;Female;Master's;11;High
Education;58;Female;Master's;22;None
Arts;37;Male;High School;29;Medium
Business;53;Female;Bachelor's;13;None
Law;28;Female;PhD;23;High
Education;30;Male;High School;15;High
Education;49;Female;Bachelor's;0;High
Biology;23;Female;PhD;24;None
Psychology;20;Male;Bachelor's;22;Medium
Economics;59;Female;PhD;15;None
Biology;58;Male;Master's;31;Medium
Economics;50;Male;Bachelor's;22;None
Business;27;Male;Master's;20;Low
Education;38;Male;High School;10;High
Mechanical Engineering;29;Female;Bachelor's;38;Medium
Computer Science;20;Male;High School;34;Medium
Mechanical Engineering;28;Male;High School;17;Medium
Medicine;57;Male;Bachelor's;24;Medium
Computer Science;57;Female;Bachelor's;38;High
Mechanical Engineering;21;Male;High School;24;High
Business;31;Male;Master's;12;Low
Medicine;29;Female;High School;37;None
Computer Science;39;Male;Master's;39;None
Biology;22;Male;Master's;2;Low
Medicine;38;Male;High School;39;High
Business;24;Male;PhD;28;Medium
Biology;45;Female;PhD;16;High
Biology;39;Female;Bachelor's;39;None
Psychology;29;Female;High School;16;None
Law;29;Female;Bachelor's;34;Low
Arts;41;Male;Bachelor's;18;High
Mechanical Engineering;41;Male;PhD;37;Medium
Computer Science;35;Male;Master's;29;Medium
Psychology;47;Female;High School;16;Medium
Psychology;45;Female;PhD;25;None
Arts;53;Male;High School;29;Medium
Biology;53;Male;Master's;30;High
Biology;26;Male;High School;21;Medium
Computer Science;34;Female;Master's;13;None
Education;27;Female;High School;23;High
Psychology;24;Male;Bachelor's;37;Low
Biology;57;Male;PhD;27;High
Arts;51;Male;Master's;32;Medium
Arts;31;Male;Master's;29;None
Medicine;37;Female;Bachelor's;36;Medium
Computer Science;55;Male;Master's;17;Low
Mechanical Engineering;47;Male;Bachelor's;20;None
Arts;44;Female;Master's;12;Low
Business;26;Male;High School;12;Low
Medicine;50;Male;PhD;6;Low
Education;40;Female;High School;18;Medium
Arts;36;Female;Bachelor's;21;Medium
Arts;54;Female;High School;37;Low
Medicine;43;Female;PhD;31;High
Business;29;Male;Bachelor's;30;None
Mechanical Engineering;26;Male;High School;23;Medium
Mechanical Engineering;42;Female;High School;9;Medium
Biology;47;Female;High School;11;High
Economics;46;Male;PhD;15;Low
Business;53;Female;PhD;16;Low
Business;57;Male;Master's;1;Medium
Arts;55;Male;PhD;11;Medium
Medicine;50;Female;Master's;17;High
Law;41;Female;Master's;36;Low
Economics;38;Male;High School;34;High
Economics;53;Male;Master's;24;Medium
Biology;27;Female;Master's;5;None
Mechanical Engineering;50;Male;Bachelor's;21;Low
Mechanical Engineering;37;Male;PhD;29;High
Computer Science;42;Male;High School;21;Medium
Psychology;30;Male;Bachelor's;33;Low
Computer Science;58;Male;PhD;33;High
Education;23;Male;High School;26;None
Biology;54;Male;PhD;14;Low
Medicine;32;Male;PhD;23;Low
Mechanical Engineering;22;Male;Master's;22;Low
Education;25;Male;High School;18;Medium
Business;55;Male;High School;7;Medium
Psychology;48;Male;Master's;3;Low
Mechanical Engineering;49;Female;PhD;38;High
Medicine;55;Female;PhD;28;Low
Medicine;46;Male;Master's;11;High
Business;53;Male;High School;24;High
Law;28;Male;Bachelor's;25;High
Arts;39;Male;High School;25;Low
Biology;43;Male;High School;1;None
Mechanical Engineering;24;Male;Master's;8;Low
Medicine;57;Male;Bachelor's;11;None
Biology;23;Female;PhD;0;High
Biology;32;Female;Master's;9;None
Law;22;Female;Master's;15;Low
Computer Science;37;Female;Bachelor's;25;Medium
Education;38;Female;Bachelor's;19;Low
Business;55;Female;PhD;17;Medium
Computer Science;57;Female;Bachelor's;15;High
Computer Science;47;Male;Bachelor's;9;High
Biology;59;Male;High School;21;None
Business;44;Female;Master's;5;High
Computer Science;44;Female;Bachelor's;15;High
Psychology;34;Male;Bachelor's;25;Low
Medicine;26;Male;High School;13;Low
Medicine;28;Female;High School;3;None
Business;42;Male;PhD;4;None
Psychology;31;Female;High School;12;High
Biology;51;Male;Bachelor's;12;Medium
Psychology;36;Female;PhD;23;Medium
Mechanical Engineering;52;Male;Master's;20;None
Arts;30;Male;Master's;38;Low
Arts;36;Male;Master's;39;Low
Economics;50;Male;Master's;3;Low
Arts;55;Male;Bachelor's;20;Medium
Medicine;27;Male;High School;2;Low
Medicine;32;Female;Bachelor's;0;Low
Arts;48;Male;High School;28;Low
Business;27;Male;Bachelor's;1;None
Business;40;Male;PhD;32;Low
Psychology;56;Female;Master's;5;High
Psychology;50;Male;PhD;37;Low
Business;45;Male;Master's;19;Low
Business;47;Male;High School;18;Medium
Law;58;Female;High School;14;None
Mechanical Engineering;31;Male;PhD;23;High
Arts;48;Male;Master's;23;High
Education;43;Female;Master's;10;Medium
Education;58;Male;PhD;36;None
Business;54;Male;Master's;21;Medium
Medicine;44;Male;PhD;10;Low
Medicine;51;Male;High School;38;Medium
Education;29;Female;PhD;35;Medium
Mechanical Engineering;30;Male;Master's;7;High
Mechanical Engineering;48;Male;PhD;8;None
Arts;37;Female;High School;9;Medium
Psychology;59;Male;Master's;36;None
Education;51;Male;High School;12;Medium
Computer Science;58;Female;Bachelor's;34;High
Law;21;Male;PhD;26;Low
Medicine;47;Male;Bachelor's;5;Low
Arts;40;Female;Bachelor's;11;Low
Medicine;54;Female;Bachelor's;39;Low
Education;56;Male;Master's;29;Medium
Education;59;Male;High School;33;None
Education;45;Female;Master's;26;High
Education;46;Female;Master's;32;Low
Law;49;Female;PhD;29;Low
Psychology;47;Male;High School;18;Medium
Law;54;Male;PhD;34;High
Medicine;48;Male;Master's;9;Low
Law;24;Female;PhD;28;Low
Psychology;48;Male;High School;17;Low
Business;45;Female;PhD;34;None
Medicine;49;Male;PhD;25;None
Psychology;56;Male;Bachelor's;27;None
Medicine;41;Female;Master's;17;None
Business;23;Male;Bachelor's;31;None
Business;46;Male;Bachelor's;27;Low
Law;21;Male;Master's;22;High
Biology;36;Female;Bachelor's;20;Medium
Biology;21;Female;Bachelor's;6;Medium
Medicine;41;Male;High School;16;None
Medicine;47;Female;High School;24;Medium
Psychology;43;Female;PhD;27;Low
Computer Science;24;Male;Master's;36;Low
Psychology;28;Male;Bachelor's;15;Medium
Medicine;24;Male;Bachelor's;7;Low
Arts;29;Male;Bachelor's;12;Medium
Psychology;43;Female;High School;12;High
Computer Science;52;Female;Master's;34;Low
Business;24;Female;PhD;31;Low
Arts;20;Female;Bachelor's;16;None
Mechanical Engineering;45;Male;High School;14;Medium
Economics;45;Male;Bachelor's;7;High
Biology;58;Male;Bachelor's;33;None
Business;46;Male;Bachelor's;24;Medium
Education;26;Male;PhD;4;None
Mechanical Engineering;30;Male;Master's;22;None
Education;44;Male;PhD;14;Medium
Psychology;49;Female;PhD;26;High
Biology;34;Female;Bachelor's;0;None
Law;56;Female;Master's;38;High
Medicine;38;Female;Master's;17;Medium
Law;27;Male;Bachelor's;29;None
Arts;23;Male;High School;9;None
Computer Science;21;Male;Master's;30;High
Arts;46;Male;Bachelor's;4;High
Business;51;Male;Bachelor's;14;None
Psychology;24;Female;High School;28;Low
Arts;43;Male;PhD;8;Low
Medicine;45;Male;PhD;30;High
Economics;28;Female;Master's;0;None
Biology;56;Female;PhD;1;None
Business;35;Male;PhD;1;Low
Computer Science;36;Male;PhD;17;Medium
Arts;35;Male;Bachelor's;32;Medium
Psychology;44;Female;PhD;9;High
Medicine;59;Male;Master's;0;Medium
Mechanical Engineering;31;Male;Master's;18;Low
Business;45;Female;Bachelor's;38;Medium
Business;22;Male;High School;22;High
Psychology;45;Male;Master's;31;High
Medicine;36;Female;PhD;31;Low
Computer Science;32;Female;PhD;19;High
Economics;58;Male;High School;3;None
Education;34;Female;High School;33;Low
Computer Science;33;Female;Master's;0;High
Economics;42;Female;Master's;23;Medium
Medicine;22;Female;PhD;35;None
Education;34;Male;Master's;12;None
Biology;39;Female;Master's;28;Medium
Medicine;49;Male;High School;17;Medium
Law;20;Female;High School;11;Medium
Economics;26;Female;Bachelor's;10;None
Business;22;Male;PhD;15;None
Law;56;Female;PhD;23;High
Law;51;Male;Master's;21;Medium
Law;24;Female;High School;33;None
Mechanical Engineering;33;Female;Master's;29;None
Computer Science;37;Female;High School;30;Medium
Education;39;Male;PhD;1;None
Arts;52;Male;Master's;17;None
Economics;33;Female;Bachelor's;28;None
Medicine;22;Male;High School;15;Low
Arts;25;Male;PhD;10;Low
Medicine;39;Male;High School;25;Medium
Economics;53;Female;PhD;10;Medium
Psychology;38;Female;Master's;31;High
Psychology;49;Female;Master's;21;High
Computer Science;22;Male;High School;16;Low
Arts;42;Male;Master's;32;Medium
Medicine;40;Male;High School;32;Low
Mechanical Engineering;59;Female;Bachelor's;6;None
Psychology;29;Female;High School;1;High
Economics;25;Female;Bachelor's;19;Medium
Psychology;20;Male;High School;36;High
Law;54;Female;High School;31;None
Economics;58;Female;High School;28;Low
Law;29;Male;High School;3;High
Business;51;Female;PhD;19;Medium
Medicine;22;Female;Master's;0;Low
Medicine;35;Male;Master's;38;None
Economics;23;Female;Bachelor's;29;None
Mechanical Engineering;27;Female;Bachelor's;6;Medium
Business;54;Female;Master's;39;None
